,horse_id
1146,67934
1147,212912
1148,320053
1149,343849
1150,348697
1151,348698
1152,355393
1153,389612
1154,390298
1155,413878
1156,414804
1157,418348
1158,419013
1159,207330
1160,419483
1161,419706
1162,425642
1163,451678
1164,433504
1165,207942
1166,438728
1167,532
1168,504470
1169,378053
1170,424818
1171,92315
1172,515902
1173,433040
1174,14963
1175,199420
1176,161624
1177,474664
1178,400490
1179,148932
1180,474389
1181,149376
1182,409441
1183,352130
1184,46591
1185,352130
1186,366166
1187,115014
1188,6682
1189,406440
1190,145843
1191,437783
1192,449704
1193,92315
1194,9132
1195,500699
1196,413984
1197,6515
1198,408040
1199,119714
1200,412715
1201,75699
1202,393141
1203,7330
1204,5858
1205,512398
1206,344929
1207,518361
1208,496277
1209,469160
1210,184170
1211,52131
1212,494565
1213,87473
1214,365356
1215,423794
1216,209939
1217,470494
1218,479814
1219,8032
1220,46591
1221,521172
1222,211179
1223,331976
1224,1198
1225,395646
1226,67455
1227,509048
1228,515894
1229,478787
1230,6516
1231,469141
1232,520313
1233,475991
1234,470449
1235,493615
1236,1198
1237,162606
1238,520545
1239,482463
1240,470683
1241,145904
1242,166851
1243,450612
1244,374863
1245,29922
1246,108641
1247,473394
1248,483496
1249,82909
1250,358614
1251,392243
1252,418425
1253,503544
1254,28773
1255,493554
1256,115134
1257,117453
1258,394097
1259,14971
1260,14952
1261,25610
1262,28300
1263,485836
1264,5335
1265,215317
1266,205198
1267,33065
1268,402048
1269,433040
1270,434238
1271,436400
1272,441340
1273,443284
1274,457981
1275,413984
1276,410723
1277,410708
1278,395646
1279,392165
1280,374863
1281,119811
1282,387711
1283,326106
1284,185192
1285,470449
1286,470494
1287,471144
1288,481936
1289,473517
1290,483496
1291,496889
1292,517138
1293,519986
1294,519987
1295,520024
1296,520054
1297,476297
1298,442389
1299,520313
1300,68757
1301,57416
1302,28800
1303,140360
1304,450675
1305,162849
1306,478481
1307,9837
1308,513605
1309,63798
1310,375986
1311,450931
1312,456679
1313,457204
1314,468177
1315,470796
1316,485836
1317,500699
1318,204521
1319,478267
1320,468744
1321,481721
1322,18654
1323,407838
1324,464466
1325,432784
1326,474458
1327,448440
1328,478545
1329,458556
1330,394902
1331,194706
1332,521551
1333,145904
1334,139618
1335,482463
1336,441676
1337,210373
1338,434864
1339,458552
1340,482379
1341,40214
1342,185553
1343,408040
1344,6840
1345,25590
1346,511582
1347,521402
1348,521304
1349,521309
1350,521401
1351,521445
1352,521451
1353,452812
1354,474005
1355,366989
1356,376712
1357,392220
1358,406440
1359,443914
1360,391630
1361,48797
1362,143740
1363,89914
1364,53057
1365,493554
1366,368768
1367,42050
1368,419409
1369,463849
1370,519690
1371,406479
1372,428859
1373,209939
1374,517093
1375,493554
1376,341808
1377,160198
1378,47063
1379,477467
1380,517259
1381,470021
1382,5320
1383,376376
1384,449704
1385,455203
1386,474389
1387,49780
1388,513588
1389,508434
1390,368768
1391,150237
1392,46591
1393,439787
1394,508434
1395,507578
1396,5335
1397,5320
1398,13348
1399,197477
1400,460684
1401,433490
1402,512398
1403,423088
1404,421635
1405,56382
1406,93594
1407,424336
1408,395399
1409,519690
1410,494565
1411,441707
1412,388615
1413,494852
1414,521172
1415,502730
1416,518220
1417,213583
1418,511581
1419,460684
1420,187514
1421,11660
1422,437646
1423,96437
1424,85872
1425,6840
1426,518101
1427,507578
1428,511581
1429,464104
1430,521151
1431,469141
1432,474005
1433,28773
1434,2729
1435,419409
1436,438291
1437,433490
1438,427395
1439,411006
1440,388969
1441,387454
1442,341808
1443,210372
1444,162606
1445,155911
1446,486638
1447,392243
1448,209795
1449,4580
1450,519159
1451,491802
1452,22704
1453,496101
1454,348523
1455,374102
1456,460937
1457,517099
1458,514877
1459,521151
1460,169196
1461,519809
1462,511572
1463,54638
1464,28759
1465,374702
1466,444405
1467,418713
1468,417149
1469,467194
1470,464592
1471,422819
1472,421885
1473,451773
1474,467197
1475,353811
1476,435903
1477,420774
1478,436353
1479,445891
1480,411812
1481,209758
1482,412831
1483,353125
1484,445890
1485,435911
1486,395623
1487,56938
1488,385305
1489,37248
1490,157266
1491,100894
1492,439946
1493,435910
1494,468515
1495,386068
1496,383970
1497,367954
1498,381941
1499,21637
1500,24478
1501,189844
1502,329862
1503,408040
1504,201588
1505,166872
1506,26830
1507,436459
1508,168628
1509,445889
1510,23675
1511,382937
1512,418715
1513,468177
1514,499166
1515,461491
1516,388969
1517,194706
1518,375986
1519,210372
1520,500699
1521,139618
1522,434864
1523,394902
1524,427279
1525,474458
1526,457204
1527,427395
1528,485836
1529,514754
1530,521317
1531,468177
1532,365711
1533,455203
1534,80151
1535,22704
1536,170829
1537,113613
1538,141217
1539,491802
1540,502221
1541,482291
1542,157152
1543,197477
1544,502221
1545,93594
1546,174851
1547,6377
1548,426549
1549,6737
1550,509048
1551,175990
1552,5569
1553,52899
1554,477915
1555,517257
1556,446366
1557,519809
1558,397314
1559,504
1560,68757
1561,6956
1562,513588
1563,493930
1564,355537
1565,24591
1566,516252
1567,491450
1568,1890
1569,496042
1570,366143
1571,62159
1572,171598
1573,149234
1574,122082
1575,374989
1576,482462
1577,448401
1578,456679
1579,486614
1580,341808
1581,505826
1582,482463
1583,155911
1584,76776
1585,7184
1586,493297
1587,494852
1588,374989
1589,508601
1590,52899
1591,155911
1592,511660
1593,496353
1594,558
1595,517366
1596,520255
1597,517676
1598,46591
1599,6377
1600,500699
1601,521317
1602,25351
1603,476297
1604,80784
1605,169179
1606,434864
1607,26786
1608,45425
1609,521222
1610,115134
1611,395399
1612,441676
1613,515684
1614,418460
1615,460937
1616,485836
1617,26301
1618,42523
1619,28759
1620,502579
1621,150106
1622,418425
1623,450675
1624,451773
1625,520005
1626,81105
1627,375384
1628,383510
1629,383216
1630,210373
1631,461242
1632,166851
1633,6516
1634,205198
1635,413935
1636,496042
1637,496872
1638,507332
1639,53091
1640,428859
1641,42050
1642,9837
1643,1428
1644,170588
1645,488331
1646,26786
1647,437648
1648,169196
1649,161624
1650,70222
1651,144180
1652,6956
1653,394097
1654,140360
1655,144302
1656,154281
1657,169710
1658,175990
1659,201251
1660,344929
1661,503544
1662,197054
1663,65253
1664,13786
1665,28800
1666,20139
1667,508647
1668,9156
1669,485287
1670,195680
1671,491187
1672,182725
1673,400490
1674,499707
1675,23160
1676,378359
1677,18629
1678,356776
1679,397506
1680,400083
1681,415742
1682,188690
1683,446366
1684,472240
1685,455272
1686,30053
1687,351421
1688,374102
1689,474389
1690,213308
1691,172177
1692,472402
1693,473394
1694,475240
1695,131455
1696,479519
1697,197105
1698,193427
1699,405830
1700,406479
1701,150237
1702,399256
1703,13319
1704,130
1705,341203
1706,17726
1707,507028
1708,119714
1709,211179
1710,323238
1711,365711
1712,388940
1713,437302
1714,463849
1715,474664
1716,478787
1717,486921
1718,492174
1719,512044
1720,520005
1721,478710
1722,382189
1723,460946
1724,507583
1725,515902
1726,508090
1727,506764
1728,507936
1729,489417
1730,517257
1731,470916
1732,450612
1733,346058
1734,191042
1735,441708
1736,468458
1737,458530
1738,24651
1739,143053
1740,392982
1741,464634
1742,184170
1743,509888
1744,2016
1745,478481
1746,110471
1747,130
1748,489795
1749,511572
1750,397314
1751,464104
1752,146905
1753,108641
1754,9660
1755,143053
1756,476553
1757,389140
1758,496109
1759,121067
1760,210373
1761,396955
1762,368663
1763,477856
1764,503818
1765,25351
1766,511581
1767,499052
1768,505303
1769,9767
1770,521222
1771,401637
1772,367290
1773,496102
1774,3389
1775,487717
1776,496353
1777,457306
1778,417126
1779,133196
1780,514296
1781,482488
1782,485061
1783,520112
1784,209377
1785,520545
1786,52345
1787,66791
1788,496102
1789,508928
1790,476553
1791,477467
1792,517093
1793,517366
1794,517676
1795,518830
1796,519935
1797,462885
1798,382703
1799,402428
1800,37248
1801,177989
1802,433306
1803,488067
1804,79911
1805,479519
1806,501035
1807,469073
1808,359544
1809,461945
1810,474389
1811,428596
1812,151153
1813,455272
1814,45577
1815,145017
1816,486625
1817,426607
1818,339
1819,2316
1820,479904
1821,514727
1822,345235
1823,317859
1824,353960
1825,375669
1826,210196
1827,511287
1828,68942
1829,62792
1830,501035
1831,53955
1832,461788
1833,392044
1834,361307
1835,425615
1836,89664
1837,509030
1838,486614
1839,479815
1840,508928
1841,31490
1842,22184
1843,447163
1844,29922
1845,131455
1846,125102
1847,506596
1848,506596
1849,135597
1850,212785
1851,66791
1852,139410
1853,82400
1854,126656
1855,54080
1856,75604
1857,119288
1858,31490
1859,69469
1860,519802
1861,425111
1862,515577
1863,473517
1864,22415
1865,86092
1866,426103
1867,78906
1868,385839
1869,444333
1870,96437
1871,433306
1872,456679
1873,485061
1874,479815
1875,482462
1876,487717
1877,488067
1878,509030
1879,514754
1880,458530
1881,518785
1882,184417
1883,210033
1884,385839
1885,114276
1886,424332
1887,442541
1888,60257
1889,409228
1890,140201
1891,94562
1892,3398
1893,160501
1894,336681
1895,75034
1896,94562
1897,158755
1898,121482
1899,401949
1900,409227
1901,171866
1902,141901
1903,183678
1904,99646
1905,121504
1906,408942
1907,40178
1908,370859
1909,26830
1910,49589
1911,336924
1912,178053
1913,5858
1914,390225
1915,386789
1916,5858
1917,118636
1918,518866
1919,518864
1920,518865
1921,518317
1922,519143
1923,472836
1924,519122
1925,154495
1926,349037
1927,474389
1928,13046
1929,105393
1930,506935
1931,471042
1932,439504
1933,426909
1934,519702
1935,461881
1936,132062
1937,385583
1938,2760
1939,482482
1940,494987
1941,195411
1942,132634
1943,201450
1944,427311
1945,165997
1946,471042
1947,406128
1948,402428
1949,426859
1950,191393
1951,457306
1952,23323
1953,403130
1954,418779
1955,440295
1956,160892
1957,441927
1958,347943
1959,470740
1960,480485
1961,23323
1962,87124
1963,56382
1964,35369
1965,441676
1966,518220
1967,482488
1968,168625
1969,196211
1970,160038
1971,45569
1972,81893
1973,515191
1974,60956
1975,211819
1976,517189
1977,518785
1978,54638
1979,520113
1980,110215
1981,82400
1982,132211
1983,425642
1984,209377
1985,89947
1986,82909
1987,65953
1988,6515
1989,27231
1990,27109
1991,151694
1992,167493
1993,426909
1994,517378
1995,520250
1996,199523
1997,52345
1998,33704
1999,491517
2000,469161
2001,450591
2002,412956
2003,177989
2004,186982
2005,424303
2006,502730
2007,461881
2008,460558
2009,451347
2010,122082
2011,9124
2012,9124
2013,502972
2014,2760
2015,342531
2016,424332
2017,6754
2018,507749
2019,8504
2020,521037
2021,508129
2022,165997
2023,149250
2024,21263
2025,382443
2026,423380
2027,389016
2028,6638
2029,9761
2030,9767
2031,124333
2032,559
2033,507659
2034,77965
2035,213557
2036,514296
2037,367290
2038,464634
2039,514877
2040,517257
2041,459683
2042,390225
2043,519443
2044,461649
2045,455503
2046,455503
2047,79911
2048,509579
2049,28229
2050,466956
2051,418600
2052,467517
2053,495734
2054,424754
2055,179791
2056,510481
2057,445723
2058,77965
2059,40289
2060,418600
2061,364960
2062,442541
2063,417073
2064,470916
2065,499052
2066,505303
2067,508090
2068,511581
2069,7271
2070,514877
2071,517257
2072,402048
2073,413984
2074,434238
2075,374863
2076,443284
2077,481936
2078,517858
2079,517856
2080,468854
2081,470449
2082,441340
2083,87258
2084,413984
2085,6385
2086,441498
2087,473123
2088,463814
2089,485061
2090,468854
2091,482462
2092,514754
2093,514897
2094,145904
2095,7219
2096,482488
2097,516031
2098,426804
2099,217802
2100,506544
2101,514352
2102,153567
2103,369118
2104,519955
2105,502800
2106,366723
2107,481110
2108,520075
2109,27290
2110,519623
2111,520109
2112,81287
2113,518772
2114,508754
2115,473123
2116,217802
2117,339857
2118,516788
2119,134103
2120,351612
2121,5500
2122,474887
2123,484979
2124,503966
2125,517039
2126,396606
2127,465554
2128,513981
2129,517378
2130,520109
2131,520112
2132,520113
2133,509040
2134,348523
2135,474887
2136,194390
2137,417093
2138,366143
2139,97047
2140,5743
2141,86005
2142,155405
2143,151762
2144,155762
2145,153715
2146,164553
2147,151273
2148,152010
2149,121193
2150,35509
2151,59004
2152,516845
2153,2316
2154,514960
2155,417746
2156,501960
2157,2812
2158,111208
2159,108087
2160,76776
2161,84833
2162,139839
2163,139838
2164,61373
2165,144180
2166,499471
2167,9736
2168,153730
2169,519263
2170,351416
2171,771
2172,3398
2173,22415
2174,25239
2175,20104
2176,49696
2177,508840
2178,368166
2179,162856
2180,21067
2181,519141
2182,519127
2183,519269
2184,519125
2185,408721
2186,472835
2187,382167
2188,464779
2189,483808
2190,134103
2191,203495
2192,486625
2193,348521
2194,145950
2195,505652
2196,738
2197,461242
2198,433357
2199,426804
2200,518316
2201,438501
2202,21131
2203,60983
2204,159870
2205,510431
2206,519702
2207,517138
2208,477856
2209,183950
2210,385583
2211,508431
2212,516097
2213,182725
2214,474396
2215,480485
2216,386068
2217,35369
2218,45569
2219,452985
2220,9156
2221,518737
2222,515892
2223,6074
2224,180961
2225,508754
2226,468458
2227,351421
2228,459683
2229,215317
2230,369092
2231,503818
2232,532
2233,428596
2234,102558
2235,506935
2236,182075
2237,195411
2238,367033
2239,506935
2240,367033
2241,738
2242,10937
2243,183950
2244,515578
2245,514352
2246,514754
2247,148932
2248,487229
2249,509040
2250,348523
2251,366166
2252,115014
2253,145843
2254,437783
2255,187677
2256,9132
2257,376911
2258,75699
2259,149775
2260,7330
2261,135223
2262,441927
2263,85838
2264,15859
2265,518784
2266,518361
2267,375385
2268,75034
2269,505529
2270,516097
2271,38176
2272,483404
2273,185192
2274,326106
2275,516097
2276,505529
2277,423794
2278,8504
2279,162856
2280,440295
2281,499249
2282,7925
2283,52221
2284,510431
2285,145843
2286,502800
2287,217802
2288,376327
2289,427311
2290,516788
2291,395399
2292,156743
2293,434047
2294,37734
2295,176060
2296,479814
2297,507749
2298,349037
2299,67455
2300,140022
2301,182210
2302,186327
2303,159040
2304,156063
2305,160672
2306,508129
2307,470449
2308,517138
2309,481360
2310,496209
2311,493615
2312,1198
2313,486614
2314,438291
2315,463814
2316,387454
2317,517367
2318,162606
2319,470683
2320,117453
2321,427395
2322,427279
2323,401949
2324,401637
2325,388969
2326,386789
2327,375986
2328,361307
2329,348521
2330,341808
2331,211819
2332,210372
2333,194706
2334,162606
2335,87258
2336,62792
2337,472402
2338,481110
2339,482463
2340,485061
2341,486614
2342,426103
2343,403130
2344,479904
2345,514727
2346,54690
2347,33065
2348,162849
2349,149912
2350,139410
2351,151153
2352,132211
2353,124333
2354,115014
2355,105393
2356,87124
2357,80693
2358,72527
2359,54392
2360,53955
2361,33065
2362,491912
2363,396175
2364,482379
2365,21263
2366,369092
2367,13046
2368,472613
2369,518316
2370,519127
2371,519141
2372,511582
2373,417093
2374,518361
2375,518864
2376,518865
2377,518866
2378,519122
2379,519125
2380,519143
2381,519263
2382,519269
2383,347943
2384,119528
2385,75699
2386,117453
2387,13319
2388,518772
2389,209939
2390,410723
2391,437783
2392,406128
2393,54690
2394,49780
2395,382167
2396,9919
2397,508912
2398,7826
2399,507583
2400,844
2401,416961
2402,508434
2403,49780
2404,103966
2405,13348
2406,358179
2407,471296
2408,93236
2409,214184
2410,444609
2411,169084
2412,482463
2413,211819
2414,395399
2415,24431
2416,479815
2417,53621
2418,512398
2419,491912
2420,151582
2421,479884
2422,441498
2423,445723
2424,482462
2425,517367
2426,423088
2427,482482
2428,502832
2429,515684
2430,513149
2431,511287
2432,355537
2433,424336
2434,471296
2435,520092
2436,519802
2437,67455
2438,519690
2439,515465
2440,441707
2441,86092
2442,519690
2443,388615
2444,519241
2445,484979
2446,213583
2447,509888
2448,460684
2449,187514
2450,11660
2451,437646
2452,450638
2453,21067
2454,363515
2455,441102
2456,366682
2457,183600
2458,6840
2459,13352
2460,4104
2461,397094
2462,485835
2463,517678
2464,469141
2465,59918
2466,520250
2467,474005
2468,470740
2469,419409
2470,486638
2471,472835
2472,392243
2473,209795
2474,4580
2475,519159
2476,412791
2477,81287
2478,511660
2479,516031
2480,516988
2481,496101
2482,508431
2483,508434
2484,517039
2485,472119
2486,447377
2487,50537
2488,382189
2489,60956
2490,36364
2491,7271
2492,7303
2493,407975
2494,7330
2495,442389
2496,433357
2497,27290
2498,57416
