,horse_id
0,160198
1,131227
2,156211
3,486638
4,370950
5,422656
6,342199
7,1175
8,407543
9,417700
10,145156
11,521885
12,387590
13,450257
14,490158
15,135161
16,9767
17,417700
18,355537
19,52389
20,394476
21,7999
22,443155
23,502730
24,518220
25,429367
26,210821
27,9660
28,411301
29,522155
30,522192
31,522193
32,522194
33,2016
34,6632
35,498372
36,502170
37,502574
38,508853
39,515389
40,501553
41,517257
42,447227
43,487210
44,497958
45,430032
46,33745
47,507749
48,428596
49,491802
50,22704
51,348523
52,374102
53,21263
54,54638
55,28759
56,487210
57,521886
58,497958
59,501553
60,517257
61,379209
62,511880
63,383607
64,440001
65,426054
66,122082
67,21067
68,365711
69,512188
70,170588
71,73321
72,486614
73,511880
74,502574
75,174851
76,6377
77,175990
78,52899
79,365997
80,188431
81,168625
82,510481
83,521305
84,521790
85,521884
86,521886
87,521888
88,521897
89,28719
90,38061
91,145156
92,447227
93,502574
94,465287
95,379209
96,383607
97,440001
98,508853
99,511880
100,504781
101,488583
102,516620
103,510139
104,90507
105,351421
106,6956
107,424745
108,517676
109,355537
110,58385
111,91755
112,156905
113,159505
114,480894
115,496042
116,366143
117,519702
118,122811
119,56658
120,174860
121,80179
122,188440
123,101176
124,146571
125,488583
126,486944
127,504470
128,122082
129,149912
130,149376
131,440760
132,76776
133,502919
134,391597
135,424402
136,2316
137,479904
138,76776
139,9156
140,24651
141,511660
142,517257
143,496353
144,439943
145,79911
146,75604
147,505529
148,558
149,118154
150,517366
151,515892
152,500232
153,502800
154,514296
155,155911
156,515191
157,488067
158,427395
159,401949
160,211819
161,457306
162,500232
163,517676
164,81287
165,13312
166,519955
167,117469
168,491517
169,504781
170,508853
171,366176
172,510139
173,511880
174,516620
175,517257
176,518824
177,408898
178,521222
179,25351
180,385116
181,455375
182,171370
183,26786
184,459683
185,471042
186,490301
187,521222
188,1428
189,462436
190,453224
191,186968
192,515684
193,26301
194,27290
195,520005
196,389140
197,501335
198,423380
199,146905
200,461242
201,487717
202,1428
203,35369
204,90507
205,387590
206,390225
207,144180
208,9156
209,509970
210,456627
211,98367
212,203603
213,135145
214,203227
215,64116
216,51293
217,111825
218,93050
219,53621
220,182725
221,101750
222,109295
223,82400
224,472240
225,351421
226,433552
227,171977
228,472402
229,518824
230,508853
231,131455
232,3389
233,398355
234,431734
235,46139
236,343679
237,479519
238,455375
239,511880
240,13319
241,431734
242,507578
243,22415
244,139410
245,512305
246,418460
247,448407
248,382189
249,521877
250,411301
251,422267
252,430096
253,429033
254,427254
255,426054
256,514352
257,437421
258,439706
259,443721
260,443726
261,452767
262,464086
263,441896
264,112072
265,203495
266,441708
267,468458
268,507578
269,508853
270,511880
271,514352
272,408898
273,33065
274,171370
275,385116
276,24651
277,517469
278,516620
279,473807
